codParlamentario,nombre,fecha_declaracion,url_pdf_bienes
50,Raúl Díaz Marín,02/08/2023,https://www.congreso.es/docbienes/leg15/000040/000040_000_e_0000181_20230802.pdf
50,Raúl Díaz Marín,17/06/2025,https://www.congreso.es/docbienes/leg15/000040/000040_001_e_0073129_20250617.pdf
51,Patricia Rodríguez Calleja,02/08/2023,https://www.congreso.es/docbienes/leg15/000045/000045_000_e_0000194_20230802.pdf
52,Juan José Aizcorbe Torra,02/08/2023,https://www.congreso.es/docbienes/leg15/000046/000046_000_e_0000200_20230802.pdf
53,José María Sánchez García,03/08/2023,https://www.congreso.es/docbienes/leg15/000094/000094_000_e_0000393_20230803.pdf
54,Artemi Rallo Lombarte,03/08/2023,https://www.congreso.es/docbienes/leg15/000051/000051_000_e_0000225_20230803.pdf
55,Carlos Javier Floriano Corrales,03/08/2023,https://www.congreso.es/docbienes/leg15/000054/000054_000_e_0000235_20230803.pdf
58,Susana Ros Martínez,03/08/2023,https://www.congreso.es/docbienes/leg15/000048/000048_000_e_0000212_20230803.pdf
59,Antonio Román Jasanada,03/08/2023,https://www.congreso.es/docbienes/leg15/000053/000053_000_e_0000233_20230803.pdf
60,María Lourdes Ramírez Martín,03/08/2023,https://www.congreso.es/docbienes/leg15/000055/000055_000_e_0000238_20230803.pdf
61,Pablo Sáez Alonso-Muñumer,03/08/2023,https://www.congreso.es/docbienes/leg15/000050/000050_000_e_0000224_20230803.pdf
62,Andreu Martín Martínez,03/08/2023,https://www.congreso.es/docbienes/leg15/000052/000052_000_e_0000232_20230803.pdf
63,María Luz Martínez Seijo,03/08/2023,https://www.congreso.es/docbienes/leg15/000056/000056_000_e_0000241_20230803.pdf
63,María Luz Martínez Seijo,17/06/2026,https://www.congreso.es/docbienes/leg15/000056/000056_000_e_0119378_20260617.pdf
64,José Luis Aceves Galindo,03/08/2023,https://www.congreso.es/docbienes/leg15/000057/000057_000_e_0000248_20230803.pdf
65,Carmen Fúnez de Gregorio,03/08/2023,https://www.congreso.es/docbienes/leg15/000058/000058_000_e_0000258_20230803.pdf
67,Belén Hoyo Juliá,03/08/2023,https://www.congreso.es/docbienes/leg15/000059/000059_000_e_0000263_20230803.pdf
68,Juan Carlos Ruiz Boix,03/08/2023,https://www.congreso.es/docbienes/leg15/000060/000060_000_e_0000269_20230803.pdf
69,Sofía Acedo Reyes,03/08/2023,https://www.congreso.es/docbienes/leg15/000066/000066_000_e_0000297_20230803.pdf
70,José Ramírez del Río,03/08/2023,https://www.congreso.es/docbienes/leg15/000061/000061_000_e_0000271_20230803.pdf
71,María Isabel Prieto Serrano,03/08/2023,https://www.congreso.es/docbienes/leg15/000064/000064_000_e_0000289_20230803.pdf
72,María Carmen Sánchez Díaz,03/08/2023,https://www.congreso.es/docbienes/leg15/000072/000072_000_e_0000321_20230803.pdf
73,Ángel López Maraver,03/08/2023,https://www.congreso.es/docbienes/leg15/000062/000062_000_e_0000276_20230803.pdf
74,Pedro Ignacio Gallardo Barrena,03/08/2023,https://www.congreso.es/docbienes/leg15/000084/000084_000_e_0000360_20230803.pdf
75,Ana Cobo Carmona,03/08/2023,https://www.congreso.es/docbienes/leg15/000063/000063_000_e_0000278_20230803.pdf
76,María del Mar Vázquez Jiménez,03/08/2023,https://www.congreso.es/docbienes/leg15/000083/000083_000_e_0000357_20230803.pdf
77,Jordi Salvador i Duch,03/08/2023,https://www.congreso.es/docbienes/leg15/000073/000073_000_e_0000324_20230803.pdf
78,Juan Antonio Valero Morales,03/08/2023,https://www.congreso.es/docbienes/leg15/000075/000075_000_e_0000331_20230803.pdf
79,Amador Marqués Atés,03/08/2023,https://www.congreso.es/docbienes/leg15/000068/000068_000_e_0000303_20230803.pdf
80,Montse Mínguez García,03/08/2023,https://www.congreso.es/docbienes/leg15/000067/000067_000_e_0000300_20230803.pdf
81,Inés Plaza García,03/08/2023,https://www.congreso.es/docbienes/leg15/000065/000065_000_e_0000293_20230803.pdf
82,María Mercedes Fernández González,03/08/2023,https://www.congreso.es/docbienes/leg15/000076/000076_000_e_0000333_20230803.pdf
82,María Mercedes Fernández González,14/05/2025,https://www.congreso.es/docbienes/leg15/000076/000076_001_e_0068635_20250514.pdf
84,Cristóbal Garre Murcia,03/08/2023,https://www.congreso.es/docbienes/leg15/000090/000090_000_e_0000383_20230803.pdf
85,Mario Cortés Carballo,03/08/2023,https://www.congreso.es/docbienes/leg15/000077/000077_000_e_0000339_20230803.pdf
85,Mario Cortés Carballo,26/02/2026,https://www.congreso.es/docbienes/leg15/000077/000077_001_e_0103185_20260226.pdf
86,Esther Gil de Reboleño Lastortres,03/08/2023,https://www.congreso.es/docbienes/leg15/000080/000080_000_e_0000350_20230803.pdf
87,Lander Martínez Hierro,03/08/2023,https://www.congreso.es/docbienes/leg15/000086/000086_000_e_0000363_20230803.pdf
88,Isabel Gema Pérez Recuerda,03/08/2023,https://www.congreso.es/docbienes/leg15/000070/000070_000_e_0000316_20230803.pdf
88,Isabel Gema Pérez Recuerda,10/07/2025,https://www.congreso.es/docbienes/leg15/000070/000070_001_e_0075628_20250710.pdf
89,Ricardo Tarno Blanco,03/08/2023,https://www.congreso.es/docbienes/leg15/000071/000071_000_e_0000320_20230803.pdf
89,Ricardo Tarno Blanco,17/09/2024,https://www.congreso.es/docbienes/leg15/000071/000071_001_e_0038528_20240917.pdf
89,Ricardo Tarno Blanco,24/02/2026,https://www.congreso.es/docbienes/leg15/000071/000071_001_e_0102207_20260224.pdf
90,Óscar Puente Santiago,03/08/2023,https://www.congreso.es/docbienes/leg15/000074/000074_000_e_0000328_20230803.pdf
90,Óscar Puente Santiago,15/07/2025,https://www.congreso.es/docbienes/leg15/000074/000074_001_e_0075932_20250715.pdf
91,Luisa Sanz Martínez,03/08/2023,https://www.congreso.es/docbienes/leg15/000085/000085_000_e_0000361_20230803.pdf
92,Txema Guijarro García,03/08/2023,https://www.congreso.es/docbienes/leg15/000093/000093_000_e_0000391_20230803.pdf
93,Álvaro Morales Álvarez,03/08/2023,https://www.congreso.es/docbienes/leg15/000078/000078_000_e_0000343_20230803.pdf
94,Arnau Ramírez Carner,03/08/2023,https://www.congreso.es/docbienes/leg15/000088/000088_000_e_0000379_20230803.pdf
94,Arnau Ramírez Carner,30/10/2023,https://www.congreso.es/docbienes/leg15/000088/000088_001_e_0003436_20231030.pdf
